puzzle_id,task_id,pair_index,preference,structural_margin_correct_minus_winner,winner_grid_id,winner_vote_rank,winner_vote_count,winner_vote_share,winner_raw_d,winner_oriented_structural_score,winner_mean_q,winner_shape,winner_is_invalid,correct_grid_id,correct_vote_rank,correct_vote_count,correct_vote_share,correct_raw_d,correct_oriented_structural_score,correct_mean_q,correct_shape
0a2355a6,0a2355a6#0,0,wrong,-0.044103073846003094,91437534f78b1a3d44ec,1,87,0.08691308691308691,0.8221139942005182,0.8221139942005182,0.7196681786371374,15x17,0,bcab8605513eb9ece1c3,12,12,0.011988011988011988,0.7780109203545151,0.7780109203545151,0.7230360570053259,15x17
0bb8deee,0bb8deee#0,0,wrong,-0.034722223715937695,c4a1c8e425bb41d823e3,1,120,0.11988011988011989,0.581068841740489,0.581068841740489,0.8739413648222883,6x6,0,969eb6ca85df307dc89d,70,2,0.001998001998001998,0.5463466180245513,0.5463466180245513,0.884773313999176,6x6
0d87d2a6,0d87d2a6#0,0,wrong,-0.07492806109515104,7a22412305f8041165f5,1,137,0.2378472222222222,0.9481992084329779,0.9481992084329779,0.6984699324425989,23x25,0,2024985e8708a76c7c30,24,2,0.003472222222222222,0.8732711473378268,0.8732711473378268,0.5959759652614594,23x25
0f63c0b9,0f63c0b9#0,0,correct,0.0037037084499995654,5a931347a566bb997d8f,1,431,0.4305694305694306,0.9877777794996897,0.9877777794996897,0.8937468798420546,15x15,0,beeb381b1249a1794a11,2,426,0.4255744255744256,0.9914814879496893,0.9914814879496893,0.9225031431292144,15x15
12eac192,12eac192#0,0,wrong,-0.02759240246406569,18132dd6329b918a1b87,1,73,0.07292707292707293,0.8773421457905544,0.8773421457905544,0.6813558034905015,8x8,0,eb186326adb8e520f7c3,276,1,0.000999000999000999,0.8497497433264887,0.8497497433264887,0.4973943829536438,8x8
15696249,15696249#0,0,wrong,-0.08254483173580934,c9c8e1bf162eef944082,1,323,0.3226773226773227,0.555645670333918,0.555645670333918,0.9413366943436325,9x9,0,d50afb4f8e4a341d5914,3,130,0.12987012987012986,0.47310083859810864,0.47310083859810864,0.9414295038924767,9x9
17cae0c1,17cae0c1#0,0,wrong,-0.016694490382687277,b87dc1bf62a42e90cd41,1,70,0.06993006993006994,0.17597230108383302,0.17597230108383302,0.7383900946804456,3x9,0,c7e35934be33c99db863,86,2,0.001998001998001998,0.15927781070114574,0.15927781070114574,0.2460687980055809,3x9
29700607,29700607#0,0,wrong,-0.015321040612000791,6a5d39ef0771260401be,1,290,0.2897102897102897,0.9439923754105202,0.9439923754105202,0.7803510936940539,11x11,0,d9a099d3c74d3984590b,33,4,0.003996003996003996,0.9286713347985194,0.9286713347985194,0.808075949549675,11x11
2a5f8217,2a5f8217#0,0,wrong,-0.005455540427079408,8f5521bb70edc65c898b,1,155,0.15484515484515485,0.9430945437427953,0.9430945437427953,0.8048987429468862,13x13,0,6394326edfbd6f8214da,2,71,0.07092907092907093,0.9376390033157159,0.9376390033157159,0.7115538048912102,13x13
31adaf00,31adaf00#0,0,correct,0.02030303080876672,7aedd3ff57821e410429,1,154,0.2673611111111111,0.9295454576159968,0.9295454576159968,0.9074370529647772,10x10,0,30dc54271591b788c515,2,152,0.2638888888888889,0.9498484884247635,0.9498484884247635,0.822400304096702,10x10
32e9702f,32e9702f#0,0,wrong,-0.00012820424177706347,9a0ff168ffc75c177afd,1,118,0.11788211788211789,0.9522435924945734,0.9522435924945734,0.7297507359693616,10x10,0,f4ec284bb528f63d776a,4,74,0.07392607392607392,0.9521153882527963,0.9521153882527963,0.7308027233827759,10x10
3391f8c0,3391f8c0#0,0,wrong,-0.031664687936956204,214ec93b523321606c0d,1,94,0.0939060939060939,0.9451475691795349,0.9451475691795349,0.9003789881442456,11x14,0,0bda4a057e766083284f,66,2,0.001998001998001998,0.9134828812425787,0.9134828812425787,0.5142943654209375,11x14
358ba94e,358ba94e#0,0,wrong,-0.03684210463574056,f95a811b753da6d2823e,1,242,0.24175824175824176,0.8894736798186051,0.8894736798186051,0.8813431047457309,5x5,0,c71a2bc92003eee8130e,4,112,0.11188811188811189,0.8526315751828646,0.8526315751828646,0.9602134130629045,5x5
37d3e8b2,37d3e8b2#0,0,correct,0.001477623812889961,e5f40430108829bb63ca,1,147,0.14685314685314685,0.7939925534588298,0.7939925534588298,0.7841731436601301,17x18,0,a87408ec19cf705ccacb,15,7,0.006993006993006993,0.7954701772717198,0.7954701772717198,0.4159497416445187,17x18
3b4c2228,3b4c2228#0,0,wrong,-0.04444444349833898,3b8f9e09723a6fef2408,1,458,0.45754245754245754,0.6761904886790684,0.6761904886790684,0.965681985411061,3x3,0,be2da3425cadd7541312,2,327,0.32667332667332666,0.6317460451807294,0.6317460451807294,0.9037249519372934,3x3
4364c1c4,4364c1c4#0,0,wrong,-0.006435006051450198,e482d8da95a7e7acddef,1,81,0.08091908091908091,0.9291901695835698,0.9291901695835698,0.39867773967116704,14x13,0,1d77bc5caab4c6cf8a12,15,14,0.013986013986013986,0.9227551635321196,0.9227551635321196,0.25569981150329113,14x13
456873bc,456873bc#0,0,wrong,-0.013726802312336361,24a0a4e6cacb1dbba465,1,51,0.05094905094905095,0.9664668243748663,0.9664668243748663,0.385343740383784,19x19,0,f2504aa64e8b0333eb5a,56,3,0.002997002997002997,0.95274002206253,0.95274002206253,0.07077355124056339,19x19
575b1a71,575b1a71#0,0,wrong,-0.0005854805124447804,37745e1006d54982e331,1,40,0.03996003996003996,0.9439344286081104,0.9439344286081104,0.803483410179615,10x10,0,cffa4dd775c6881cea41,14,16,0.015984015984015984,0.9433489480956656,0.9433489480956656,0.7746989037841558,10x10
58743b76,58743b76#0,0,wrong,-0.0009196815913669054,a072f21cc93a58c14a3c,1,36,0.03596403596403597,0.9529794858760589,0.9529794858760589,0.5259456233017974,14x14,0,97b6c4ce1fe6426d5b85,11,8,0.007992007992007992,0.952059804284692,0.952059804284692,0.5564997978508472,14x14
626c0bcc,626c0bcc#0,0,wrong,-0.024049452973599283,3cc6623adf572b89674a,1,44,0.04395604395604396,0.8257684841195577,0.8257684841195577,0.5839545171369206,7x7,0,72b2d18366a06f413787,76,2,0.001998001998001998,0.8017190311459584,0.8017190311459584,0.702917605638504,7x7
62ab2642,62ab2642#0,0,correct,0.012263098887376533,794514ad4468b42cffb1,1,264,0.26373626373626374,0.7696209583792798,0.7696209583792798,0.8799686199618559,5x12,0,1b7d20649a9c1f98f23f,7,26,0.025974025974025976,0.7818840572666563,0.7818840572666563,0.5935909601931388,5x12
642248e4,642248e4#0,0,correct,0.0006492760607866854,5b00b956e6e4b2569faa,1,50,0.04995004995004995,0.9736548664608622,0.9736548664608622,0.47326053217053415,16x18,0,f5a83c42ff722cca79a9,29,4,0.003996003996003996,0.9743041425216489,0.9743041425216489,0.6294513829052448,16x18
696d4842,696d4842#0,0,correct,0.001311189228004439,cc338788e6452fddd8c7,1,187,0.18681318681318682,0.9648077050289074,0.9648077050289074,0.7706936323905692,20x20,0,6c0fff2b9c2ea6560ea4,53,2,0.001998001998001998,0.9661188942569119,0.9661188942569119,0.7935977280139923,20x20
6f473927,6f473927#0,0,wrong,-0.000941619746044231,9119d6da3a054533451e,1,15,0.026041666666666668,0.8038740921540064,0.8038740921540064,0.25692393630743027,12x12,0,a808ca9578d07d474b0c,56,2,0.003472222222222222,0.8029324724079622,0.8029324724079622,0.09574296697974205,12x12
73c3b0d8,73c3b0d8#0,0,wrong,-0.008385745984203385,777e79fe2463091abba7,1,127,0.2204861111111111,0.9421514688797716,0.9421514688797716,0.5863236223794813,12x8,0,ae7c572c12e8023e7d04,10,8,0.013888888888888888,0.9337657228955683,0.9337657228955683,0.23649015463888645,12x8
7e02026e,7e02026e#0,0,correct,0.0007861571491889485,3191f6e14875c8541b14,1,267,0.4635416666666667,0.9634433996002629,0.9634433996002629,0.8904150502846928,12x12,0,82b8cbb484b48958f044,2,84,0.14583333333333334,0.9642295567494519,0.9642295567494519,0.4516909654429626,12x12
8b28cd80,8b28cd80#0,0,wrong,-0.016244315787365515,8dde9589f95fb1b71e4f,1,866,0.8651348651348651,0.9165042293699164,0.9165042293699164,0.9628657980824178,9x9,0,0e268a8ed57c5b4906f5,2,38,0.03796203796203796,0.9002599135825509,0.9002599135825509,0.7030855970163095,9x9
