dataset,statistic,baseline_type,confidence_orientation,definition,puzzles,aurc_convention,aurc,random_order_expected_aurc,aurc_improvement_vs_random,relative_aurc_reduction_vs_random,full_coverage_accuracy,full_coverage_risk
arc1_normal_test,structural_defect,frozen_confidence,lower_is_more_confident,Mean frozen descriptor-level orbit dispersion; lower is more coherent.,200,mean risk over all N empirical retention cutoffs (right-Riemann),0.31586167853807995,0.5974999999999999,0.28163832146191997,0.47136120746764854,0.4025,0.5974999999999999
arc1_normal_test,vote_share,frozen_confidence,higher_is_more_confident,Mean exact-grid emission share of the B1 winning mode; higher is more confident.,200,mean risk over all N empirical retention cutoffs (right-Riemann),0.26206564698082846,0.5974999999999999,0.33543435301917146,0.5613964067266469,0.4025,0.5974999999999999
arc1_normal_test,vote_margin,frozen_confidence,higher_is_more_confident,Mean top-1 minus top-2 exact-grid vote share; higher is more confident.,200,mean risk over all N empirical retention cutoffs (right-Riemann),0.2607539081534486,0.5974999999999999,0.3367460918465513,0.5635917855172408,0.4025,0.5974999999999999
arc1_normal_test,vote_entropy,frozen_confidence,lower_is_more_confident,Mean Shannon entropy in nats of the exact-grid emission distribution; lower is more confident.,200,mean risk over all N empirical retention cutoffs (right-Riemann),0.2776887416829336,0.5974999999999999,0.3198112583170663,0.5352489678946717,0.4025,0.5974999999999999
arc1_normal_test,winner_mean_q,frozen_confidence,higher_is_more_confident,"Mean Q of emissions belonging to the B1 winning mode, then averaged across puzzle outputs; higher is more confident.",200,mean risk over all N empirical retention cutoffs (right-Riemann),0.3127768181492204,0.5974999999999999,0.2847231818507795,0.47652415372515405,0.4025,0.5974999999999999
arc1_normal_test,structural_defect_reversed_sanity,orientation_sanity_check,higher_is_more_confident,Sanity check only: higher defect first; never used as the selected orientation.,200,mean risk over all N empirical retention cutoffs (right-Riemann),0.8108308703654575,0.5974999999999999,-0.21333087036545761,-0.3570391135823559,0.4025,0.5974999999999999
arc1_blank_test,structural_defect,frozen_confidence,lower_is_more_confident,Mean frozen descriptor-level orbit dispersion; lower is more coherent.,200,mean risk over all N empirical retention cutoffs (right-Riemann),0.922868554959021,0.96,0.03713144504097898,0.03867858858435311,0.04,0.96
arc1_blank_test,vote_share,frozen_confidence,higher_is_more_confident,Mean exact-grid emission share of the B1 winning mode; higher is more confident.,200,mean risk over all N empirical retention cutoffs (right-Riemann),0.90094668613134,0.96,0.05905331386865997,0.06151386861318747,0.04,0.96
arc1_blank_test,vote_margin,frozen_confidence,higher_is_more_confident,Mean top-1 minus top-2 exact-grid vote share; higher is more confident.,200,mean risk over all N empirical retention cutoffs (right-Riemann),0.8973893429981962,0.96,0.0626106570018038,0.06521943437687895,0.04,0.96
arc1_blank_test,vote_entropy,frozen_confidence,lower_is_more_confident,Mean Shannon entropy in nats of the exact-grid emission distribution; lower is more confident.,200,mean risk over all N empirical retention cutoffs (right-Riemann),0.9095316356195907,0.96,0.05046836438040925,0.052571212896259635,0.04,0.96
arc1_blank_test,winner_mean_q,frozen_confidence,higher_is_more_confident,"Mean Q of emissions belonging to the B1 winning mode, then averaged across puzzle outputs; higher is more confident.",200,mean risk over all N empirical retention cutoffs (right-Riemann),0.8826500419743073,0.96,0.07734995802569267,0.08057287294342987,0.04,0.96
arc1_blank_test,structural_defect_reversed_sanity,orientation_sanity_check,higher_is_more_confident,Sanity check only: higher defect first; never used as the selected orientation.,200,mean risk over all N empirical retention cutoffs (right-Riemann),0.9882588059093997,0.96,-0.028258805909399776,-0.029436256155624767,0.04,0.96
arc2_supporting,structural_defect,frozen_confidence,lower_is_more_confident,Mean frozen descriptor-level orbit dispersion; lower is more coherent.,120,mean risk over all N empirical retention cutoffs (right-Riemann),0.9180768700795726,0.9708333333333333,0.05275646325376071,0.05434142137726425,0.029166666666666667,0.9708333333333333
arc2_supporting,vote_share,frozen_confidence,higher_is_more_confident,Mean exact-grid emission share of the B1 winning mode; higher is more confident.,120,mean risk over all N empirical retention cutoffs (right-Riemann),0.8947211582721738,0.9708333333333333,0.07611217506115953,0.07839880692994973,0.029166666666666667,0.9708333333333333
arc2_supporting,vote_margin,frozen_confidence,higher_is_more_confident,Mean top-1 minus top-2 exact-grid vote share; higher is more confident.,120,mean risk over all N empirical retention cutoffs (right-Riemann),0.8924124510186502,0.9708333333333333,0.07842088231468314,0.08077687448722727,0.029166666666666667,0.9708333333333333
arc2_supporting,vote_entropy,frozen_confidence,lower_is_more_confident,Mean Shannon entropy in nats of the exact-grid emission distribution; lower is more confident.,120,mean risk over all N empirical retention cutoffs (right-Riemann),0.9018035461790357,0.9708333333333333,0.06902978715429764,0.07110364342073576,0.029166666666666667,0.9708333333333333
arc2_supporting,winner_mean_q,frozen_confidence,higher_is_more_confident,"Mean Q of emissions belonging to the B1 winning mode, then averaged across puzzle outputs; higher is more confident.",120,mean risk over all N empirical retention cutoffs (right-Riemann),0.9011171725014725,0.9708333333333333,0.06971616083186083,0.0718106377667236,0.029166666666666667,0.9708333333333333
arc2_supporting,structural_defect_reversed_sanity,orientation_sanity_check,higher_is_more_confident,Sanity check only: higher defect first; never used as the selected orientation.,120,mean risk over all N empirical retention cutoffs (right-Riemann),0.9855539633501768,0.9708333333333333,-0.014720630016843428,-0.015162880704044732,0.029166666666666667,0.9708333333333333
