puzzle_id,task_id,pair_index,puzzle_weight,b1_grid_id,alternative_grid_id,b1_count,alternative_count,b1_distinct_centrality,alternative_distinct_centrality,centrality_advantage,log_count_advantage_b1,beta_flip
03560426,03560426#0,0,1.0,918aee8d025acfd247f2,17e2128b5802a2acb8ab,37,2,0.9112888196980731,0.919285715181635,0.007996895483561972,2.917770732084279,364.8629318817416
05a7bcf2,05a7bcf2#0,0,1.0,ad07ee24a00088fbb396,74d82a2ecd73ab44df14,7,1,0.9023332164615988,0.9117350160887565,0.009401799627157703,1.9459101490553132,206.97209323993957
08573cc6,08573cc6#0,0,1.0,10218e413dfd32e0ea70,4e7e1c6bdb4f7fdae09e,62,2,0.7581098678546031,0.8079790744939312,0.049869206639328145,3.4339872044851463,68.85987237216273
0b17323b,0b17323b#0,0,1.0,2f328311bd9f90bc823c,76a3c18f177d5ed41ad0,85,2,0.984799998998642,0.9868444454669952,0.0020444464683532226,3.7495040759303713,1833.9947433060217
0bb8deee,0bb8deee#0,0,1.0,c4a1c8e425bb41d823e3,ea905b4eb87ec227b47b,120,6,0.581068841740489,0.6001660636747661,0.019097221934277098,2.995732273553991,156.8674377804151
0becf7df,0becf7df#0,0,1.0,881293d7f62c1b7ad293,4cc83255de52ba39cd95,444,1,0.8568907530367875,0.872352938692109,0.015462185655321425,6.095824562432225,394.24080775632785
0d87d2a6,0d87d2a6#0,0,1.0,7a22412305f8041165f5,859d4dc5d9c4f4cf8288,137,1,0.9481992084329779,0.9676268761808222,0.019427667747844324,4.919980925828125,253.24609158883942
0f63c0b9,0f63c0b9#0,0,1.0,5a931347a566bb997d8f,beeb381b1249a1794a11,431,426,0.9877777794996897,0.9914814879496893,0.0037037084499995654,0.011668743834377424,3.1505567978437377
12eac192,12eac192#0,0,1.0,18132dd6329b918a1b87,945d3edc3893034bdccf,73,12,0.8773421457905544,0.8936088295687885,0.016266683778234148,1.8055527913603908,110.99698106729872
140c817e,140c817e#0,0,1.0,fc24c87e8e55119656e9,ba4b54403c5317b80bcd,888,32,0.9818239882588387,0.9827806204557419,0.0009566321969032288,3.3232358401924436,3473.8908547614105
14754a24,14754a24#0,0,1.0,4746b32c3fa920152ded,c6f62eaeaf01885a1d99,719,157,0.9852262205547757,0.9858417908350626,0.0006155702802869145,1.5216155523727386,2471.8794930507697
15696249,15696249#0,0,1.0,c9c8e1bf162eef944082,9c74f3e7c215b87a76c4,323,56,0.555645670333918,0.7461476136733146,0.19050194333939663,1.7523006324875074,9.19833468242171
17cae0c1,17cae0c1#0,0,1.0,b87dc1bf62a42e90cd41,42fcce1e1ac8455c105a,70,1,0.17597230108383302,0.30161380225509554,0.12564150117126252,4.248495242049359,33.81442598539328
1acc24af,1acc24af#0,0,1.0,5c79f103f37186c2208d,50b7e177253b4971432d,267,4,0.9562865495681763,0.9562865501955936,6.274173403042482e-10,4.200954297280359,6695629890.055677
1d0a4b61,1d0a4b61#0,0,1.0,1656d084198261da7dca,40df840826db6e0677f5,266,4,0.9756906815961273,0.9761980525807313,0.0005073709846040719,4.197201947661808,8272.451667564523
